#ENCUT (Ry)   Total energy (Ry)
10            -35.86580706
15            -36.43806492
20            -36.74202280
25            -36.83902254
30            -36.86976959
35            -36.88089492
40            -36.88431478
45            -36.88492292
50            -36.88506773
55            -36.88523962
60            -36.88544686
65            -36.88562958
70            -36.88577325
75            -36.88586524
80            -36.88591263

