#ENCUT (Ry)   Total energy (Ry)
10            -35.86906084
15            -36.44374422 
20            -36.74514225 
25            -36.84101625 
30            -36.87085523
35            -36.88210890 
40            -36.88542230 
45            -36.88602286 
50            -36.88616758 
55            -36.88634215 
60            -36.88655093 
65            -36.88673833 
70            -36.88688450 
75            -36.88697811 
80            -36.88702401 
