#ENCUT (Ry)   Total energy (Ry)
10            -35.87802903
15            -36.44843024
20            -36.74730736
25            -36.84112610
30            -36.87041420
35            -36.88173242
40            -36.88503085
45            -36.88561973
50            -36.88575793
55            -36.88593940
60            -36.88614992
65            -36.88634318
70            -36.88649288
75            -36.88658571
80            -36.88663131
