 &plot nbnd=  49, nks=   401 /
            0.000000  0.000000  0.000000
  -22.976  -22.798  -22.517  -22.133  -21.649  -21.071  -20.404  -19.659  -18.863  -18.122
  -16.390  -15.495  -14.427  -13.287  -12.117  -11.069  -10.953  -10.865  -10.540  -10.100
   -9.943   -9.833   -9.768   -9.551   -9.496   -9.138   -8.907   -8.800   -8.705   -8.226
   -8.185   -7.909   -7.734   -7.421   -7.276   -7.208   -6.908   -6.761   -6.685   -6.681
   -6.104   -1.625   -0.942   -0.257   -0.184   -0.107   -0.044    0.051    0.308
            0.000000  0.000000  0.002500
  -22.975  -22.798  -22.517  -22.133  -21.649  -21.070  -20.404  -19.659  -18.863  -18.121
  -16.390  -15.495  -14.427  -13.287  -12.117  -11.069  -10.953  -10.864  -10.540  -10.100
   -9.944   -9.833   -9.769   -9.551   -9.496   -9.139   -8.907   -8.800   -8.705   -8.226
   -8.185   -7.909   -7.734   -7.420   -7.277   -7.208   -6.908   -6.761   -6.685   -6.681
   -6.104   -1.625   -0.942   -0.257   -0.184   -0.107   -0.044    0.051    0.308
            0.000000  0.000000  0.005000
  -22.975  -22.798  -22.516  -22.132  -21.649  -21.070  -20.403  -19.658  -18.862  -18.121
  -16.390  -15.495  -14.427  -13.287  -12.117  -11.069  -10.953  -10.864  -10.539  -10.099
   -9.945   -9.834   -9.770   -9.551   -9.498   -9.140   -8.907   -8.800   -8.707   -8.228
   -8.185   -7.910   -7.735   -7.420   -7.280   -7.207   -6.910   -6.762   -6.686   -6.680
   -6.104   -1.625   -0.942   -0.256   -0.183   -0.106   -0.044    0.052    0.309
            0.000000  0.000000  0.007500
  -22.975  -22.797  -22.516  -22.132  -21.648  -21.070  -20.403  -19.658  -18.862  -18.121
  -16.389  -15.494  -14.427  -13.286  -12.117  -11.068  -10.953  -10.863  -10.539  -10.099
   -9.948   -9.834   -9.772   -9.550   -9.500   -9.143   -8.906   -8.801   -8.709   -8.230
   -8.184   -7.912   -7.736   -7.419   -7.284   -7.206   -6.913   -6.762   -6.689   -6.680
   -6.103   -1.626   -0.942   -0.256   -0.183   -0.106   -0.044    0.052    0.310
            0.000000  0.000000  0.010000
  -22.974  -22.796  -22.515  -22.131  -21.647  -21.069  -20.402  -19.657  -18.861  -18.120
  -16.389  -15.494  -14.426  -13.286  -12.116  -11.067  -10.953  -10.862  -10.538  -10.098
   -9.951   -9.834   -9.776   -9.549   -9.504   -9.146   -8.905   -8.802   -8.712   -8.232
   -8.183   -7.914   -7.738   -7.419   -7.290   -7.204   -6.916   -6.763   -6.692   -6.679
   -6.102   -1.626   -0.942   -0.255   -0.182   -0.105   -0.044    0.053    0.311
            0.000000  0.000000  0.012500
  -22.973  -22.795  -22.514  -22.130  -21.646  -21.068  -20.401  -19.656  -18.860  -18.119
  -16.388  -15.493  -14.425  -13.285  -12.116  -11.066  -10.953  -10.861  -10.537  -10.097
   -9.955   -9.835   -9.780   -9.548   -9.508   -9.151   -8.904   -8.803   -8.716   -8.236
   -8.182   -7.917   -7.740   -7.417   -7.297   -7.203   -6.921   -6.764   -6.696   -6.678
   -6.101   -1.626   -0.942   -0.253   -0.180   -0.103   -0.044    0.054    0.312
            0.000000  0.000000  0.015000
  -22.972  -22.794  -22.513  -22.129  -21.645  -21.067  -20.400  -19.655  -18.859  -18.118
