#ENCUT (Ry)   Total energy (Ry)
1             -36.38440067
2             -36.73135669
3             -36.84732143
4             -36.88935962
5             -36.88517609
6             -36.88340986
7             -36.88795329
8             -36.88696592
9             -36.88602286
10            -36.88733948
11            -36.88704888
12            -36.88662622
13            -36.88715932
14            -36.88704722
15            -36.88683453

