                                                                           
      40      40     240      40      40     240       2       1
     0        4.66240973      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
   1.0000000000000000        0.0000000000000000       -0.0000000000000000     
 -0.49999999999999989       0.86602540370095960        0.0000000000000000     
  -0.0000000000000000        0.0000000000000000        6.0796655591215618     
      385.4421245554       10.0000000000       70.0000000000    11
   1   C     4.00
   1       0.000000000    0.000000000    3.039832780    1
   2       0.000000000    0.577350300    3.039832780    1
  1.645691384E-01  1.645692369E-01  1.645621840E-01  1.645547295E-01  1.645577012E-01
  1.645638981E-01  1.645621829E-01  1.645590538E-01  1.645604090E-01  1.645659753E-01
  1.645628697E-01  1.645607655E-01  1.645576080E-01  1.645467419E-01  1.645507380E-01
  1.645604763E-01  1.645624541E-01  1.645605242E-01  1.645591492E-01  1.645613046E-01
  1.645656811E-01  1.645613046E-01  1.645591492E-01  1.645605242E-01  1.645624541E-01
  1.645604763E-01  1.645507380E-01  1.645467419E-01  1.645576080E-01  1.645607655E-01
  1.645628697E-01  1.645659753E-01  1.645604090E-01  1.645590538E-01  1.645621829E-01
  1.645638981E-01  1.645577012E-01  1.645547295E-01  1.645621840E-01  1.645692369E-01
  1.645692369E-01  1.645692369E-01  1.645713378E-01  1.645611249E-01  1.645556470E-01
  1.645613025E-01  1.645638490E-01  1.645593057E-01  1.645551818E-01  1.645583755E-01
  1.645626754E-01  1.645592921E-01  1.645600920E-01  1.645560380E-01  1.645546476E-01
  1.645599072E-01  1.645617430E-01  1.645596202E-01  1.645595189E-01  1.645591514E-01
  1.645565705E-01  1.645565705E-01  1.645591514E-01  1.645595189E-01  1.645596202E-01
  1.645617430E-01  1.645599072E-01  1.645546476E-01  1.645560380E-01  1.645600920E-01
  1.645592921E-01  1.645626754E-01  1.645583755E-01  1.645551818E-01  1.645593057E-01
  1.645638490E-01  1.645613025E-01  1.645556470E-01  1.645611249E-01  1.645713378E-01
  1.645621841E-01  1.645612882E-01  1.645621841E-01  1.645611249E-01  1.645576485E-01
