 &plot nbnd=  31, nks=   401 /
            0.000000  0.000000 -0.500000
  -21.254  -21.179  -20.093  -20.017  -18.471  -18.389  -15.799  -15.739  -13.446  -13.380
  -11.413  -11.334  -10.269  -10.210  -10.170  -10.104   -9.435   -9.368   -9.177   -9.121
   -9.060   -9.002   -7.843   -7.784   -6.349   -6.289   -1.586   -1.525    0.608    0.673
    1.308
            0.000000  0.000000 -0.497500
  -21.257  -21.176  -20.096  -20.014  -18.472  -18.387  -15.801  -15.737  -13.448  -13.377
  -11.419  -11.329  -10.274  -10.209  -10.168  -10.102   -9.435   -9.368   -9.179   -9.118
   -9.064   -8.997   -7.847   -7.780   -6.351   -6.287   -1.588   -1.523    0.603    0.679
    1.307
            0.000000  0.000000 -0.495000
  -21.264  -21.169  -20.102  -20.008  -18.477  -18.383  -15.806  -15.731  -13.455  -13.370
  -11.433  -11.315  -10.285  -10.211  -10.161  -10.097   -9.435   -9.367   -9.186   -9.111
   -9.074   -8.986   -7.856   -7.770   -6.355   -6.283   -1.593   -1.518    0.590    0.692
    1.304
            0.000000  0.000000 -0.492500
  -21.273  -21.159  -20.111  -19.998  -18.483  -18.376  -15.813  -15.724  -13.464  -13.361
  -11.450  -11.298  -10.300  -10.218  -10.149  -10.090   -9.434   -9.366   -9.195   -9.102
   -9.088   -8.973   -7.868   -7.758   -6.361   -6.277   -1.600   -1.510    0.573    0.709
    1.299
            0.000000  0.000000 -0.490000
  -21.284  -21.147  -20.122  -19.987  -18.491  -18.368  -15.821  -15.715  -13.475  -13.350
  -11.470  -11.279  -10.317  -10.228  -10.134  -10.082   -9.433   -9.365   -9.205   -9.102
   -9.092   -8.958   -7.882   -7.744   -6.369   -6.269   -1.608   -1.501    0.555    0.727
    1.293
            0.000000  0.000000 -0.487500
  -21.296  -21.135  -20.133  -19.975  -18.500  -18.359  -15.830  -15.705  -13.486  -13.338
  -11.491  -11.259  -10.334  -10.241  -10.117  -10.074   -9.432   -9.363   -9.215   -9.117
   -9.080   -8.942   -7.896   -7.729   -6.377   -6.261   -1.617   -1.492    0.536    0.745
    1.285
            0.000000  0.000000 -0.485000
  -21.309  -21.121  -20.145  -19.962  -18.510  -18.349  -15.839  -15.695  -13.498  -13.326
  -11.513  -11.239  -10.352  -10.255  -10.099  -10.066   -9.430   -9.361   -9.226   -9.132
   -9.069   -8.926   -7.910   -7.714   -6.385   -6.252   -1.626   -1.481    0.517    0.765
    1.275
            0.000000  0.000000 -0.482500
  -21.322  -21.108  -20.158  -19.949  -18.520  -18.339  -15.849  -15.684  -13.510  -13.314
  -11.535  -11.219  -10.370  -10.270  -10.080  -10.057   -9.428   -9.359   -9.237   -9.148
   -9.057   -8.910   -7.925   -7.699   -6.394   -6.244   -1.636   -1.471    0.498    0.784
    1.265
            0.000000  0.000000 -0.480000
  -21.335  -21.094  -20.170  -19.936  -18.530  -18.328  -15.859  -15.673  -13.522  -13.301
  -11.557  -11.199  -10.389  -10.286  -10.062  -10.049   -9.426   -9.357   -9.249   -9.163
   -9.044   -8.893   -7.939   -7.683   -6.403   -6.234   -1.646   -1.460    0.478    0.803
    1.254
            0.000000  0.000000 -0.477500
  -21.348  -21.079  -20.183  -19.922  -18.540  -18.318  -15.868  -15.662  -13.534  -13.288
  -11.579  -11.179  -10.407  -10.303  -10.047  -10.038   -9.423   -9.354   -9.260   -9.179
   -9.032   -8.876   -7.954   -7.667   -6.412   -6.225   -1.655   -1.449    0.459    0.823
    1.242
            0.000000  0.000000 -0.475000
  -21.361  -21.065  -20.196  -19.908  -18.551  -18.307  -15.878  -15.651  -13.547  -13.275
  -11.602  -11.159  -10.426  -10.320  -10.039  -10.021   -9.420   -9.351   -9.271   -9.194
   -9.020   -8.859   -7.969   -7.651   -6.422   -6.216   -1.665   -1.438    0.439    0.842
    1.229
            0.000000  0.000000 -0.472500
  -21.374  -21.050  -20.208  -19.894  -18.562  -18.296  -15.887  -15.640  -13.559  -13.262
  -11.625  -11.139  -10.444  -10.338  -10.033  -10.002   -9.417   -9.348   -9.282   -9.210
   -9.007   -8.842   -7.983   -7.635   -6.431   -6.206   -1.675   -1.426    0.420    0.862
    1.216
            0.000000  0.000000 -0.470000
  -21.387  -21.036  -20.221  -19.880  -18.572  -18.284  -15.897  -15.628  -13.571  -13.248
  -11.648  -11.119  -10.463  -10.355  -10.028   -9.983   -9.412   -9.345   -9.292   -9.225
   -8.994   -8.825   -7.998   -7.619   -6.440   -6.197   -1.685   -1.415    0.400    0.881
    1.202
            0.000000  0.000000 -0.467500
  -21.400  -21.021  -20.234  -19.866  -18.583  -18.273  -15.906  -15.616  -13.584  -13.235
  -11.671  -11.100  -10.481  -10.374  -10.024   -9.964   -9.408   -9.343   -9.302   -9.241
   -8.981   -8.808   -8.012   -7.603   -6.450   -6.187   -1.694   -1.403    0.380    0.901
    1.188
            0.000000  0.000000 -0.465000
  -21.413  -21.006  -20.246  -19.851  -18.594  -18.262  -15.916  -15.605  -13.596  -13.222
  -11.695  -11.080  -10.499  -10.392  -10.022   -9.945   -9.403   -9.341   -9.311   -9.256
   -8.969   -8.791   -8.027   -7.587   -6.459   -6.178   -1.704   -1.391    0.360    0.920
    1.174
            0.000000  0.000000 -0.462500
  -21.426  -20.991  -20.259  -19.837  -18.605  -18.250  -15.925  -15.593  -13.608  -13.208
  -11.718  -11.061  -10.517  -10.411  -10.019   -9.925   -9.397   -9.342   -9.317   -9.272
   -8.956   -8.773   -8.041   -7.570   -6.469   -6.168   -1.713   -1.380    0.340    0.940
    1.160
            0.000000  0.000000 -0.460000
  -21.440  -20.976  -20.272  -19.822  -18.615  -18.239  -15.934  -15.581  -13.621  -13.195
  -11.742  -11.042  -10.535  -10.430  -10.018   -9.907   -9.391   -9.347   -9.318   -9.287
   -8.943   -8.756   -8.056   -7.554   -6.478   -6.159   -1.723   -1.368    0.321    0.960
    1.145
            0.000000  0.000000 -0.457500
  -21.453  -20.961  -20.284  -19.808  -18.626  -18.228  -15.943  -15.569  -13.633  -13.181
  -11.766  -11.023  -10.553  -10.449  -10.018   -9.888   -9.384   -9.354   -9.317   -9.302
   -8.930   -8.738   -8.070   -7.537   -6.488   -6.149   -1.732   -1.356    0.301    0.979
    1.131
            0.000000  0.000000 -0.455000
  -21.465  -20.945  -20.297  -19.793  -18.637  -18.216  -15.952  -15.557  -13.645  -13.168
  -11.790  -11.004  -10.571  -10.468  -10.019   -9.869   -9.377   -9.363   -9.317   -9.313
   -8.917   -8.721   -8.084   -7.521   -6.497   -6.139   -1.742   -1.344    0.281    0.999
    1.116
            0.000000  0.000000 -0.452500
  -21.478  -20.930  -20.309  -19.778  -18.648  -18.205  -15.961  -15.544  -13.657  -13.154
  -11.814  -10.985  -10.589  -10.487  -10.020   -9.851   -9.375   -9.367   -9.332   -9.309
   -8.904   -8.703   -8.099   -7.504   -6.507   -6.130   -1.751   -1.331    0.261    1.018
    1.101
            0.000000  0.000000 -0.450000
  -21.491  -20.914  -20.322  -19.763  -18.658  -18.193  -15.970  -15.532  -13.670  -13.141
  -11.838  -10.967  -10.606  -10.507  -10.022   -9.833   -9.383   -9.361   -9.347   -9.304
