                                                                           
      40      40     240      40      40     240       2       1
     0        4.66240973      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
   1.0000000000000000        0.0000000000000000       -0.0000000000000000     
 -0.49999999999999989       0.86602540370095960        0.0000000000000000     
  -0.0000000000000000        0.0000000000000000        6.0796655591215618     
      385.4421245554       10.0000000000       70.0000000000    11
   1   C     4.00
   1       0.000000000    0.000000000    3.039832780    1
   2       0.000000000    0.577350300    3.039832780    1
  1.497603973E-01  1.497604958E-01  1.497534429E-01  1.497459884E-01  1.497489600E-01
  1.497551570E-01  1.497534418E-01  1.497503127E-01  1.497516679E-01  1.497572341E-01
  1.497541286E-01  1.497520244E-01  1.497488669E-01  1.497380008E-01  1.497419969E-01
  1.497517352E-01  1.497537130E-01  1.497517831E-01  1.497504081E-01  1.497525635E-01
  1.497569400E-01  1.497525635E-01  1.497504081E-01  1.497517831E-01  1.497537130E-01
  1.497517352E-01  1.497419969E-01  1.497380008E-01  1.497488669E-01  1.497520244E-01
  1.497541286E-01  1.497572341E-01  1.497516679E-01  1.497503127E-01  1.497534418E-01
  1.497551570E-01  1.497489600E-01  1.497459884E-01  1.497534429E-01  1.497604958E-01
  1.497604958E-01  1.497604958E-01  1.497625967E-01  1.497523838E-01  1.497469059E-01
  1.497525614E-01  1.497551079E-01  1.497505646E-01  1.497464407E-01  1.497496344E-01
  1.497539343E-01  1.497505510E-01  1.497513509E-01  1.497472969E-01  1.497459065E-01
  1.497511661E-01  1.497530019E-01  1.497508791E-01  1.497507778E-01  1.497504103E-01
  1.497478293E-01  1.497478294E-01  1.497504103E-01  1.497507778E-01  1.497508791E-01
  1.497530019E-01  1.497511661E-01  1.497459065E-01  1.497472969E-01  1.497513509E-01
  1.497505510E-01  1.497539343E-01  1.497496344E-01  1.497464407E-01  1.497505646E-01
  1.497551079E-01  1.497525614E-01  1.497469059E-01  1.497523838E-01  1.497625967E-01
  1.497534429E-01  1.497525471E-01  1.497534430E-01  1.497523838E-01  1.497489074E-01
