#ENCUT (Ry)   Total energy (Ry)
1             -36.37820282
2             -36.72737190
3             -36.84563433
4             -36.88839987
5             -36.88404969
6             -36.88225461
7             -36.88690427
8             -36.88588690
9             -36.88492292
10            -36.88627362
11            -36.88597396
12            -36.88554077
13            -36.88608864
14            -36.88597281
15            -36.88575469

